Business Name,Website,Phone Number,Rating,Reviews,Category,Address
GIA,http://www.instagram.com/gia.dubai,+971 4 234 9986,4.8,"9,563",Italian restaurant,Unit GF - 320 New Fashion Avenue - Dubai Mall - Financial Ctr St - Dubai - United Arab Emirates
Social House,https://weareanother.me/brands/social-house,+971 52 972 5541,4.9,"15,998",Restaurant,level LG - Unit LG - 100 - B - Financial Ctr St - Burj Khalifa - Dubai Mall - Dubai - United Arab Emirates
Carluccio's - Italian Restaurant in Dubai Mall,http://www.carlucciosme.com/,+971 4 330 5990,4.7,"7,266",Italian restaurant,"Dubai Mall, Lower Ground Floor - Financial Ctr St - Downtown Dubai - Dubai - United Arab Emirates"
Maison De Curry | Restaurant with the best views of Burj Khalifa & Dubai Fountains,https://maisondecurry.com/,+971 52 406 6183,4.8,"4,903",Restaurant,Souk Al Bahar - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
Bombay Borough,https://www.bombayborough.com/dubai.html,+971 54 995 8296,4.8,"8,485",Restaurant,"Bombay Borough, Gate Village, Building 3 - towards DIFC Parking - opposite Gate District 2 - Zaa'beel Second - DIFC - Dubai - United Arab Emirates"
Asador de Aranda,https://wa.me/971502333492?text=Hello%2C%20I%27d%20like%20to%20book%20a%20table,+971 4 547 6444,4.8,"2,848",Spanish restaurant,The Address Downtown Burj Dubai - Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates
ZouZou Turkish & Lebanese Restaurant | JBR DUBAI,https://www.zouzoudubai.com/,+971 4 564 0778,4.8,"11,512",Turkish restaurant,Marsa Dubai - Jumeirah Beach Residence - Dubai - United Arab Emirates
Dinner In The Sky,https://dinnerinthesky.ae/,+971 58 819 3296,4.9,"4,043",Restaurant,Al Sufoh - Al Seyahi St - next to zero gravity - Skydive - Dubai - United Arab Emirates
BOCA,http://www.boca.ae/,+971 4 323 1833,4.6,"1,403",Spanish restaurant,Gate Village 6 - near DIFC Parking - Zaa'beel Second - DIFC - Dubai - United Arab Emirates
Couqley French Brasserie Downtown Dubai,http://www.couqley.ae/,+971 4 514 9339,4.8,"1,433",Restaurant,Marasi Dr - Business Bay - Dubai - United Arab Emirates
Swiss Butter - Sofitel Downtown,https://swissbutter.com/,+971 4 358 1213,4.7,"2,871",Steak house,Sofitel Downtown - Sheikh Zayed Rd - Burj Khalifa - Dubai - United Arab Emirates
Sardina Seafood Restaurant,https://sardina.ae/,+971 4 339 0444,4.9,"4,994",Seafood restaurant,"Opposite Jumeirah Beach Resort - The Mall, 1st Floor - Jumeira St - Umm Suqeim 3 - Dubai - United Arab Emirates"
Icarus Restaurant Dubai,https://www.sevenrooms.com/explore/icarus/reservations/create/search,+971 58 280 7801,4.9,"4,105",Mediterranean restaurant,"Souk Al Bahar, Level 2 - Dubai Mall - Dubai - United Arab Emirates"
BASTA!,https://www.basta-dubai.com/,+971 4 512 5522,4.5,"1,133",Italian restaurant,"The St. Regis Downtown, Dubai - Marasi Dr - Business Bay - Dubai - United Arab Emirates"
C Restaurant,http://c-restaurant.com/,+971 54 501 4111,4.8,"6,123",Mediterranean restaurant,14 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates
Alloro,https://www.thefirstcollection.ae/dubai-marina/restaurants/alloro-ristorante/?utm_source=listings&utm_medium=organic&utm_campaign=allororistorante,+971 4 407 8872,4.9,"4,826",Restaurant,The First Collection Marina - Ground Floor - Al Seba St - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates
Mint Leaf of London Dubai,http://www.mintleaf.ae/,+971 58 893 3832,4.6,"3,314",Indian restaurant,"Emirates Financial Towers - 15th Floor, South Tower - DIFC - Dubai - United Arab Emirates"
